year,age,births
1997,18,1359
1997,19,1629
1997,20,1812
1997,21,1959
1997,22,2073
1997,23,2364
1997,24,2610
1997,25,2913
1997,26,3219
1997,27,3495
1997,28,3675
1997,29,3813
1997,30,3771
1997,31,3645
1997,32,3414
1997,33,3060
1997,34,2754
1997,35,2370
1997,36,1824
1997,37,1380
1997,38,1068
1997,39,726
1997,40,534
1997,41,303
1997,42,207
1997,43,111
1997,44,54
1997,45,27
1997,46,15
1998,14,30
1998,15,96
1998,16,360
1998,17,753
1998,18,1212
1998,19,1467
1998,20,1626
1998,21,1773
1998,22,1944
1998,23,2193
1998,24,2445
1998,25,2733
1998,26,3087
1998,27,3306
1998,28,3378
1998,29,3654
1998,30,3696
1998,31,3654
1998,32,3372
1998,33,2928
1998,34,2709
1998,35,2394
1998,36,1920
1998,37,1503
1998,38,1062
1998,39,786
1998,40,486
1998,41,327
1998,42,201
1998,43,120
1998,44,66
1998,45,24
1998,46,12
1999,14,24
1999,15,108
1999,16,333
1999,17,753
1999,18,1170
1999,19,1491
1999,20,1752
1999,21,1830
1999,22,2007
1999,23,2091
1999,24,2337
1999,25,2757
1999,26,3021
1999,27,3306
1999,28,3591
1999,29,3756
1999,30,3969
1999,31,3738
1999,32,3525
1999,33,3084
1999,34,2751
1999,35,2403
1999,36,2028
1999,37,1635
1999,38,1245
1999,39,894
1999,40,555
1999,41,396
1999,42,219
1999,43,150
1999,44,72
1999,45,30
1999,46,18
2000,14,24
2000,15,120
2000,16,336
2000,17,687
2000,18,1173
2000,19,1470
2000,20,1704
2000,21,1854
2000,22,2001
2000,23,2055
2000,24,2265
2000,25,2526
2000,26,2856
2000,27,3102
2000,28,3495
2000,29,3783
2000,30,3768
2000,31,3735
2000,32,3501
2000,33,3270
2000,34,2889
2000,35,2568
2000,36,2100
2000,37,1629
2000,38,1194
2000,39,936
2000,40,627
2000,41,420
2000,42,252
2000,43,135
2000,44,63
2000,45,24
2000,46,9
2001,14,21
2001,15,120
2001,16,357
2001,17,666
2001,18,1092
2001,19,1512
2001,20,1713
2001,21,1815
2001,22,2010
